title,timestamp,protocol,direction,port,duration_sec,parallel_streams,message_size_param,window_size_param,target_ip,iperf_version,system_info,cpu_utilization_percent,sent_bps,sent_bytes,sent_retransmits,received_bps,received_bytes,udp_bps,udp_bytes,udp_jitter_ms,udp_lost_packets,udp_lost_percent,error_message,sub_direction
tcp_tx_P1_Mdef_Wdef_D10_port52001,"Sat, 24 May 2025 02:40:36 GMT",tcp,tx,52001,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,49110468483.131516,61388146992,152,,,,,,,,,tx
tcp_tx_P1_Mdef_Wdef_D10_port52002,"Sat, 24 May 2025 02:40:36 GMT",tcp,tx,52002,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,49118868356.7843,61398671404,274,,,,,,,,,tx
tcp_tx_P1_M64K_Wdef_D10_port52002,"Sat, 24 May 2025 02:40:46 GMT",tcp,tx,52002,10,1,64K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,47704418879.250145,59630744232,8337,,,,,,,,,tx
tcp_tx_P1_M64K_Wdef_D10_port52001,"Sat, 24 May 2025 02:40:46 GMT",tcp,tx,52001,10,1,64K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,49486647269.88657,61858797768,10247,,,,,,,,,tx
tcp_tx_P1_M128K_Wdef_D10_port52002,"Sat, 24 May 2025 02:40:56 GMT",tcp,tx,52002,10,1,128K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,49123039276.72687,61404382432,0,,,,,,,,,tx
tcp_tx_P1_M128K_Wdef_D10_port52001,"Sat, 24 May 2025 02:40:56 GMT",tcp,tx,52001,10,1,128K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,49126597322.629456,61408922144,0,,,,,,,,,tx
tcp_rx_P1_Mdef_Wdef_D10_port52002,"Sat, 24 May 2025 02:41:07 GMT",tcp,rx,52002,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,48927139971.41077,61400154112,,,,,,,rx
tcp_rx_P1_Mdef_Wdef_D10_port52001,"Sat, 24 May 2025 02:41:07 GMT",tcp,rx,52001,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,48922102594.610115,61399629824,,,,,,,rx
tcp_rx_P1_M64K_Wdef_D10_port52001,"Sat, 24 May 2025 02:41:17 GMT",tcp,rx,52001,10,1,64K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,48631348513.23364,61041606656,,,,,,,rx
tcp_rx_P1_M64K_Wdef_D10_port52002,"Sat, 24 May 2025 02:41:17 GMT",tcp,rx,52002,10,1,64K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,49044099607.62972,61553508352,,,,,,,rx
tcp_rx_P1_M128K_Wdef_D10_port52001,"Sat, 24 May 2025 02:41:27 GMT",tcp,rx,52001,10,1,128K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,48915604825.51256,61397008384,,,,,,,rx
tcp_rx_P1_M128K_Wdef_D10_port52002,"Sat, 24 May 2025 02:41:27 GMT",tcp,rx,52002,10,1,128K,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,48926714388.54316,61404610560,,,,,,,rx
tcp_bx_P1_Mdef_Wdef_D10_port52002,"Sat, 24 May 2025 02:41:37 GMT",tcp,bx,52002,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,,,,,,,bx
tcp_bx_P1_Mdef_Wdef_D10_port52001,"Sat, 24 May 2025 02:41:37 GMT",tcp,bx,52001,10,1,,,3.3.3.4,iperf 3.9,Linux mev04.esxcert.local 5.14.0-570.12.1.el9_6.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Apr 4 10:41:31 EDT 2025 x86_64,,,,,,,,,,,,,bx
